common_name,slug,scientific_name,category,habitat_tags,key_visual_traits,relative_scale_index,enabled,notes
Smallmouth Bass,smallmouth_bass,Micropterus dolomieu,fish,freshwater|lakes|rivers|rocky,bronze to olive-green flanks with dark vertical bars|red to reddish-brown eye|upper jaw extending to the middle of the eye (not past it)|spiny dorsal fin joined to soft dorsal with a shallow notch|robust torpedo-shaped body with a slightly forked tail,1.0,true,Baseline species for relative scale index.
Largemouth Bass,largemouth_bass,Micropterus salmoides,fish,freshwater|lakes|ponds|weedy,green to olive back fading to a pale belly|dark horizontal stripe running along the midline from gill to tail|upper jaw extending well past the rear edge of the eye|deeply notched dorsal fin separating spiny and soft sections|stocky body with a broad slightly forked caudal fin,1.3,true,Distinguished from smallmouth by jaw length and lateral stripe.
Northern Pike,northern_pike,Esox lucius,fish,freshwater|lakes|rivers|weedy,long slender torpedo-shaped body|dark olive-green flanks marked with rows of light bean-shaped spots|broad flat duckbill-like snout with a wide mouth full of sharp teeth|single soft dorsal fin set far back near the tail|forked caudal fin and fully scaled cheek with lower half of gill cover bare,2.5,true,Apex freshwater predator with distinctive elongated body.
Bowfin,bowfin,Amia calva,fish,freshwater|swamps|backwaters|slow rivers,long cylindrical heavy-bodied build with a rounded tail|very long undulating dorsal fin running most of the back|bony gular plate under the lower jaw|mottled olive to brown coloration with darker reticulated patterning|prominent dark eye spot (ocellus) at the base of the tail in males,1.6,true,Living fossil; only surviving member of its order.
Bluegill,bluegill,Lepomis macrochirus,fish,freshwater|lakes|ponds|weedy,deep laterally compressed disc-shaped body|olive to blue-green back with yellow-orange belly and faint vertical bars|solid black ear flap (opercular tab) at the rear of the gill cover|dark blotch at the rear base of the soft dorsal fin|small mouth not extending past the front of the eye,0.5,true,Most recognizable panfish; black ear flap is diagnostic.
Black Crappie,black_crappie,Pomoxis nigromaculatus,fish,freshwater|lakes|ponds|clear water,deep strongly compressed silvery body speckled with irregular dark blotches|seven or eight dorsal spines (more than white crappie)|large symmetric dorsal and anal fins of roughly equal size|broad head with upturned mouth and large eyes|faintly forked tail fin with mottled dark markings,0.6,true,Irregular speckling (not vertical bars) distinguishes from white crappie.
Rock Bass,rock_bass,Ambloplites rupestris,fish,freshwater|rivers|rocky shorelines|clear lakes,stocky slightly compressed body with a brassy olive coloration|bright red eye|rows of small dark spots forming faint horizontal lines on the lower flanks|six anal fin spines (more than most sunfish)|large mouth reaching to the middle of the eye,0.55,true,Often called 'redeye'; distinctive red iris.
Pumpkinseed Sunfish,pumpkinseed_sunfish,Lepomis gibbosus,fish,freshwater|lakes|ponds|weedy,deep round laterally compressed body|brilliant orange belly and iridescent blue-green back with orange speckling|wavy turquoise lines radiating across the cheek and gill cover|black ear flap tipped with a bright crimson or scarlet spot|small mouth with a short upper jaw,0.5,true,Red spot on the ear flap is diagnostic versus bluegill.
Yellow Perch,yellow_perch,Perca flavescens,fish,freshwater|lakes|rivers,elongated oval body with a golden-yellow background color|six to nine dark vertical bars (tiger stripes) along the flanks|two clearly separated dorsal fins the first spiny and the second soft|bright orange to red pelvic and anal fins|slightly humped back and a blunt rounded snout,0.55,true,Member of the true perch family; separated dorsals are key.
Channel Catfish,channel_catfish,Ictalurus punctatus,fish,freshwater|rivers|reservoirs|lakes,slender elongated body with a slate-gray to olive back and silvery-white belly|deeply forked tail fin|four pairs of long whisker-like barbels around the mouth|scattered small dark spots on the sides (especially in juveniles and younger adults)|smooth scaleless skin with a small adipose fin ahead of the tail,2.0,true,Forked tail and spotted sides separate from bullheads.
